X,Y,name,elevation
-74.0749651386,4.6417886074,037 CC Galerías,2586.4
-74.0739710553,4.6422284329,391 CC Galerías,2586.1
-74.0754114094,4.6433222007,646 CC Galerías,2586.4
-74.0785661509,4.6437399834,NZF,2584.8
-74.0787448531,4.6413301863,NZG,2586.1
-74.0789596446,4.6384310117,NZH,2588.2
-74.0791514225,4.6357580647,NZI,2590.1
-74.0794881419,4.6316328691,125 Estación Av el Dorado,2593.6
-74.079881151,4.6291190677,695 Las Américas,2593.5
-74.0821867794,4.625323799,694 CAD,2601.2
-74.0799387451,4.6242939495,133 Plaza de la Democracia,2604.8
-74.0751759042,4.620245266,134 Estación centro Memoria,2613
-74.0864331904,4.612615076,177 CAI Paloquemao,2602.7
-74.0886006877,4.6092350029,154 La Sabana,2593.5
-74.0906151917,4.6064124451,200 San Andresito,2594.8
-74.091188011,4.6056480696,NN San Andresito,2594.9
-74.0935123965,4.6020190084,155 Progreso,2598
-74.0886476001,4.5983231566,443 La Estanzuela,2612.7
-74.0900048817,4.6002901988,061 El Progreso,2610.3
-74.0925066415,4.6020698245,062 El Progreso,2609.2
-74.0959979058,4.6045613828,059 Veraguas,2605
-74.0855295479,4.5979221474,043 La Estanzuela,2618.1
-74.0833873378,4.596387396,063 Pq Tercer Milenio,2623.6
-74.0809747484,4.5934558986,657 Estación bicentenario,2637.2
-74.0781216323,4.5904105128,633 Archivo Distrital,2662.3
-74.0750266617,4.5900718548,414 Hospital centro oriente Lourdes,2684.8
-74.0966290422,4.6058895718,008 Estacion Comuneros,2602.6
-74.089771891,4.6008399362,042 La Estanzuela,2611.9
-74.0474953918,4.6775767452,285 Chicó norte,2605.1
-74.0501698737,4.6789830266,284 Cra 14,2591.2
-74.0467691118,4.6764454343,220 Pq de la 93,2581.8
-74.0718464382,4.6507083576,324 Cenda,
-74.0722623769,4.6306547672,143 Canal Arzobispo,
-74.0716884378,4.6089485055,654 Teatro nacional Jorge Elieser Gaitán,2642.7
-74.0724592901,4.6062010802,244 Pl las Nieves,2651.6
-74.0705470532,4.6048125417,245 Las Nieves,2660.6
-74.0694350877,4.6036156518,247 Veracruz,2655.1
-74.070709391,4.6044875887,246 Veracruz,2655.9
-74.0726926252,4.6058498949,243 Veracruz,2649.2
-74.0736577633,4.6064825521,242 Estación las Nieves,2644
-74.075057164,4.6074656192,241 La Capuchina,2642.4
