stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
154,201,Eduardo Santos  ,201A00 Eduardo Santos  ,-74.0900585233,4.5951331702,0,,0,,co,0
155,202,El Vergel  ,202A00 El Vergel  ,-74.0932968454,4.5981296395,0,,0,,co,0
156,203,El Progreso  ,203A00 El Progreso  ,-74.0937469248,4.5986853261,0,,0,,co,0
157,204,El Vergel  ,204A00 El Vergel  ,-74.0962914008,4.5958525695,0,,0,,co,0
158,205,El Vergel  ,205A00 El Vergel  ,-74.0969324671,4.5959528256,0,,0,,co,0
159,206,Santa Isabel sur ,206A00 Santa Isabel sur ,-74.0998062026,4.5978084868,0,,0,,co,0
160,207,Santa Isabel sur ,207A00 Santa Isabel sur ,-74.0982403334,4.5965519682,0,,0,,co,0
161,209,Colseguros   ,209A00 Colseguros   ,-74.0848976135,4.622071791,0,,0,,co,0
162,211,La Castellana  ,211A00 La Castellana  ,-74.0596939344,4.6871920055,0,,0,,co,0
163,212,Centro empresarial cl 100,212A00 Centro empresarial cl 100,-74.0527786966,4.6857952671,0,,0,,co,0
164,213,Chicó norte III sector,213A00 Chicó norte III sector,-74.0503088851,4.6853875069,0,,0,,co,0
165,214,Chicó norte II sector,214A00 Chicó norte II sector,-74.0462817068,4.6838196363,0,,0,,co,0
166,215,Colsanitas cl 100 ,215A00 Colsanitas cl 100 ,-74.0450814103,4.6832248564,0,,0,,co,0
167,216,Universidad militar Nueva granada,216A00 Universidad militar Nueva granada,-74.0430312243,4.6822107137,0,,0,,co,0
168,217,Pq público La Reserva,217A00 Pq público La Reserva,-74.0396166976,4.6783404056,0,,0,,co,0
169,218,Chicó norte II sector,218A00 Chicó norte II sector,-74.0443578176,4.6810330823,0,,0,,co,0
170,219,   ,219A00    ,-74.0456585126,4.6786499141,0,,0,,co,0
171,219,Chicó norte  ,219A00 Chicó norte  ,-74.0457118303,4.6783900168,0,,0,,co,0
172,220,Pq de la 93,220A00 Pq de la 93,-74.0467691118,4.6764454343,0,,0,,co,0
173,221,Seguros del Estado ,221A00 Seguros del Estado ,-74.0487264067,4.6726048138,0,,0,,co,0
174,222,Parroquia de la Inmaculada,222A00 Parroquia de la Inmaculada,-74.0492928505,4.6715433454,0,,0,,co,0
175,223,CC Andino  ,223A00 CC Andino  ,-74.0524937939,4.6666074319,0,,0,,co,0
176,224,Esparillal   ,224A00 Esparillal   ,-74.0540988344,4.6641001333,0,,0,,co,0
177,225,La Porciuncula  ,225A00 La Porciuncula  ,-74.0571213411,4.6597365108,0,,0,,co,0
178,226,U Pedagógica Nal ,226A00 U Pedagógica Nal ,-74.0584441362,4.6578356451,0,,0,,co,0
179,227,Cl de Traumatología y,227A00 Cl de Traumatología y,-74.0594187853,4.656586559,0,,0,,co,0
180,228,Quinta Camacho  ,228A00 Quinta Camacho  ,-74.0607852765,4.6543868008,0,,0,,co,0
181,229,Cl del Niño ,229A00 Cl del Niño ,-74.0614451497,4.6530453033,0,,0,,co,0
182,230,Centro Cosmos 64 ,230A00 Centro Cosmos 64 ,-74.0632515428,4.6516844363,0,,0,,co,0
183,231,Parque Lourdes  ,231A00 Parque Lourdes  ,-74.0635505579,4.6502321255,0,,0,,co,0
184,232,Cuerpo Oficial de Bomberos,232A00 Cuerpo Oficial de Bomberos,-74.063962835,4.6473603875,0,,0,,co,0
185,233,Tecnoparque SENA  ,233A00 Tecnoparque SENA  ,-74.0650876889,4.6406915362,0,,0,,co,0
186,234,U Piloto  ,234A00 U Piloto  ,-74.0662652627,4.6333196014,0,,0,,co,0
187,235,U La Gran Colombia,235A00 U La Gran Colombia,-74.0665402349,4.6317815909,0,,0,,co,0
188,236,Sucre   ,236A00 Sucre   ,-74.0672681574,4.6276293788,0,,0,,co,0
189,237,RCN Radio  ,237A00 RCN Radio  ,-74.0674470298,4.6264396944,0,,0,,co,0
190,238,San Martín  ,238A00 San Martín  ,-74.0688189987,4.618461539,0,,0,,co,0
191,239,Parque Central Bavaria ,239A00 Parque Central Bavaria ,-74.069209684,4.6166506749,0,,0,,co,0
192,240,Edificio Bavaria  ,240A00 Edificio Bavaria  ,-74.0705094924,4.6151699977,0,,0,,co,0
193,241,La Capuchina  ,241A00 La Capuchina  ,-74.075057164,4.6074656192,0,,0,,co,0
194,242,Estación las Nieves ,242A00 Estación las Nieves ,-74.0736577633,4.6064825521,0,,0,,co,0
195,243,Veracruz   ,243A00 Veracruz   ,-74.0726926252,4.6058498949,0,,0,,co,0
196,244,Pl las Nieves ,244A00 Pl las Nieves ,-74.0724592901,4.6062010802,0,,0,,co,0
197,245,Las Nieves  ,245A00 Las Nieves  ,-74.0705470532,4.6048125417,0,,0,,co,0
198,246,Veracruz   ,246A00 Veracruz   ,-74.070709391,4.6044875887,0,,0,,co,0
199,247,Veracruz   ,247A00 Veracruz   ,-74.0694350877,4.6036156518,0,,0,,co,0
200,248,Las Nieves  ,248A00 Las Nieves  ,-74.0693389221,4.6040263219,0,,0,,co,0
201,249,La Alameda  ,249A00 La Alameda  ,-74.0747808572,4.6077381587,0,,0,,co,0
202,254,XXX   ,254A00 XXX   ,-74.0794301635,4.6111277026,0,,0,,co,0
203,255,El Listón  ,255A00 El Listón  ,-74.0818775622,4.6127958027,0,,0,,co,0
204,256,Pl Paloquemao  ,256A00 Pl Paloquemao  ,-74.0851772732,4.6158733198,0,,0,,co,0
205,258,Complejo Judicial Paloquemao ,258A00 Complejo Judicial Paloquemao ,-74.0868311841,4.6168335294,0,,0,,co,0
206,259,Galerías   ,259A00 Galerías   ,-74.0765404806,4.64239325,0,,0,,co,0
